====================================================================================================
 CANCHARIOS — FASE 4D.2 · CERTIFICACIÓN NUMÉRICA FINAL SIN FUGA
====================================================================================================
PASS | Contrato productivo 01_frecuencias_PGV | esperado=True | observado=True | exacto | fuente=01_frecuencias_PGV.frequencies
PASS | Contrato productivo 02_t_pareada_PGV_IER | esperado=True | observado=True | exacto | fuente=02_t_pareada_PGV_IER.ttest
PASS | Contrato productivo 03_t_independiente_PGV_TV31_1vs5 | esperado=True | observado=True | exacto | fuente=03_t_independiente_PGV_TV31_1vs5.ttest
PASS | Contrato productivo 04_anova_PGV_por_TV31 | esperado=True | observado=True | exacto | fuente=04_anova_PGV_por_TV31.anova
PASS | Contrato productivo 05_ancova_PGV_IER_TV31 | esperado=True | observado=True | exacto | fuente=05_ancova_PGV_IER_TV31.ancova
PASS | Contrato productivo 06_chi_cuadrado_PGV7_PGV8_5x5 | esperado=True | observado=True | exacto | fuente=06_chi_cuadrado_PGV7_PGV8_5x5.chi_square
PASS | Contrato productivo 07_chi_cuadrado_PGV7_PGV8_2x2 | esperado=True | observado=True | exacto | fuente=07_chi_cuadrado_PGV7_PGV8_2x2.chi_square
PASS | Contrato productivo 08_logistica_binaria_TV31_5vs1 | esperado=True | observado=True | exacto | fuente=08_logistica_binaria_TV31_5vs1.logistic
PASS | Contrato productivo 09_logistica_multinomial_TV31 | esperado=True | observado=True | exacto | fuente=09_logistica_multinomial_TV31.logistic
PASS | Contrato productivo 10_regresion_ordinal_TV31 | esperado=True | observado=True | exacto | fuente=10_regresion_ordinal_TV31.ordinal_regression
PASS | Contrato productivo 11_discriminante_TV31 | esperado=True | observado=True | exacto | fuente=11_discriminante_TV31.discriminant
PASS | Contrato productivo 12_cluster_PGV_IER_TV3_k3 | esperado=True | observado=True | exacto | fuente=12_cluster_PGV_IER_TV3_k3.cluster
